id,note_type,duration,rel_position,img_src
000000.png,note4,8,2,lg-877777775968732096-aug-gonville--page-3.png
000001.png,note4,16,0,lg-877777775968732096-aug-gonville--page-3.png
000002.png,note4,16,-10,lg-877777775968732096-aug-gonville--page-3.png
000003.png,note4,16,1,lg-877777775968732096-aug-gonville--page-3.png
000004.png,note4,8.,-10,lg-877777775968732096-aug-gonville--page-3.png
000005.png,note4,8,-8,lg-877777775968732096-aug-gonville--page-3.png
000006.png,note4,4,0,lg-877777775968732096-aug-gonville--page-3.png
000007.png,note4,8,-9,lg-877777775968732096-aug-gonville--page-3.png
000008.png,note4,8,5,lg-877777775968732096-aug-gonville--page-3.png
000009.png,note4,16,-12,lg-877777775968732096-aug-gonville--page-3.png
000010.png,note4,8,5,lg-877777775968732096-aug-gonville--page-3.png
000011.png,note4,16,-13,lg-877777775968732096-aug-gonville--page-3.png
000012.png,note4,8,1,lg-877777775968732096-aug-gonville--page-3.png
000013.png,note4,8.,-12,lg-877777775968732096-aug-gonville--page-3.png
000014.png,note4,16,5,lg-877777775968732096-aug-gonville--page-3.png
000015.png,note4,16,1,lg-877777775968732096-aug-gonville--page-3.png
000016.png,note4,16,-12,lg-877777775968732096-aug-gonville--page-3.png
000017.png,note4,8,1,lg-877777775968732096-aug-gonville--page-3.png
000018.png,note4,8.,-12,lg-877777775968732096-aug-gonville--page-3.png
000019.png,note4,16,-4,lg-877777775968732096-aug-gonville--page-3.png
000020.png,note4,8,-3,lg-877777775968732096-aug-gonville--page-3.png
000021.png,note4,8,-4,lg-877777775968732096-aug-gonville--page-3.png
000022.png,note4,16,-1,lg-877777775968732096-aug-gonville--page-3.png
000023.png,note4,16,0,lg-877777775968732096-aug-gonville--page-3.png
000024.png,note4,8,-2,lg-877777775968732096-aug-gonville--page-3.png
000025.png,note4,8,-8,lg-877777775968732096-aug-gonville--page-3.png
000026.png,note4,16,-5,lg-877777775968732096-aug-gonville--page-3.png
000027.png,note4,16,-2,lg-877777775968732096-aug-gonville--page-3.png
000028.png,note4,8,-5,lg-877777775968732096-aug-gonville--page-3.png
000029.png,note4,8,-1,lg-877777775968732096-aug-gonville--page-3.png
000030.png,note4,8,-3,lg-877777775968732096-aug-gonville--page-3.png
000031.png,note4,16,-2,lg-877777775968732096-aug-gonville--page-3.png
000032.png,note4,16,-2,lg-877777775968732096-aug-gonville--page-3.png
000033.png,note4,8,-3,lg-877777775968732096-aug-gonville--page-3.png
000034.png,note4,16,0,lg-877777775968732096-aug-gonville--page-3.png
000035.png,note4,16,3,lg-877777775968732096-aug-gonville--page-3.png
000036.png,note4,16,-9,lg-877777775968732096-aug-gonville--page-3.png
000037.png,note4,16,4,lg-877777775968732096-aug-gonville--page-3.png
000038.png,note4,16,-8,lg-877777775968732096-aug-gonville--page-3.png
000039.png,note4,16,2,lg-877777775968732096-aug-gonville--page-3.png
000040.png,note8,16,-9,lg-877777775968732096-aug-gonville--page-3.png
000041.png,note4,8,-2,lg-877777775968732096-aug-gonville--page-3.png
000042.png,note4,8,0,lg-877777775968732096-aug-gonville--page-3.png
000043.png,note4,8,3,lg-877777775968732096-aug-gonville--page-3.png
000044.png,note2,2,3,lg-877777775968732096-aug-gonville--page-3.png
000045.png,note4,4,-5,lg-877777775968732096-aug-gonville--page-3.png
000046.png,note4,16,3,lg-877777775968732096-aug-gonville--page-3.png
000047.png,note4,16,-3,lg-877777775968732096-aug-gonville--page-3.png
000048.png,note4,16,1,lg-877777775968732096-aug-gonville--page-3.png
000049.png,note4,16,2,lg-877777775968732096-aug-gonville--page-3.png
000050.png,note4,4,-12,lg-877777775968732096-aug-gonville--page-3.png
000051.png,note4,16,3,lg-877777775968732096-aug-gonville--page-3.png
000052.png,note4,16,2,lg-877777775968732096-aug-gonville--page-3.png
000053.png,note4,16,3,lg-877777775968732096-aug-gonville--page-3.png
000054.png,note4,16,-12,lg-877777775968732096-aug-gonville--page-3.png
000055.png,note4,8,1,lg-877777775968732096-aug-gonville--page-3.png
000056.png,note8,16,2,lg-877777775968732096-aug-gonville--page-3.png
000057.png,note4,8,-3,lg-877777775968732096-aug-gonville--page-3.png
000058.png,note4,8,2,lg-877777775968732096-aug-gonville--page-3.png
000059.png,note4,16,-9,lg-877777775968732096-aug-gonville--page-3.png
000060.png,note4,16,-7,lg-877777775968732096-aug-gonville--page-3.png
000061.png,note4,16,-10,lg-877777775968732096-aug-gonville--page-3.png
000062.png,note4,8,-5,lg-877777775968732096-aug-gonville--page-3.png
000063.png,note4,16,-12,lg-877777775968732096-aug-gonville--page-3.png
000064.png,note4,16,-12,lg-877777775968732096-aug-gonville--page-3.png
000065.png,note4,8,1,lg-877777775968732096-aug-gonville--page-3.png
000066.png,note4,8.,-13,lg-877777775968732096-aug-gonville--page-3.png
000067.png,note4,16,-5,lg-877777775968732096-aug-gonville--page-3.png
000068.png,note4,16,-5,lg-877777775968732096-aug-gonville--page-3.png
000069.png,note4,8,-2,lg-877777775968732096-aug-gonville--page-3.png
000070.png,note4,8,0,lg-877777775968732096-aug-gonville--page-3.png
000071.png,note4,8,3,lg-877777775968732096-aug-gonville--page-3.png
000072.png,note4,16,-9,lg-877777775968732096-aug-gonville--page-3.png
000073.png,note4,4,2,lg-877777775968732096-aug-gonville--page-3.png
000074.png,note4,16,-7,lg-877777775968732096-aug-gonville--page-3.png
000075.png,note4,16,-6,lg-877777775968732096-aug-gonville--page-3.png
