id,symbol,cat_name,rel_position,duration
000000.png,natural,accidentalNatural,-10,
000001.png,natural,accidentalNatural,-4,
000002.png,natural,accidentalNatural,-3,
000003.png,natural,accidentalNatural,-10,
000004.png,natural,accidentalNatural,-12,
000005.png,flat,accidentalFlat,-5,
000006.png,natural,accidentalNatural,7,
000007.png,natural,accidentalNatural,-5,
000008.png,flat,accidentalFlat,-7,
000009.png,natural,accidentalNatural,-4,
000010.png,dot,augmentationDot,,
000011.png,dot,augmentationDot,,
000012.png,dot,augmentationDot,,
000013.png,rest_whole,restWhole,,
000014.png,rest_whole,restWhole,,
000015.png,rest_whole,restWhole,,
000016.png,rest_whole,restWhole,,
000017.png,rest_16th,rest16th,,
000018.png,clef_treble,clefG,,
000019.png,clef_8,clef8,,
000020.png,clef_8,clef8,,
000021.png,rest_whole,restWhole,,
000022.png,clef_treble,clefG,,
000023.png,clef_treble,clefG,,
000024.png,rest_16th,rest16th,,
000025.png,rest_quarter,restQuarter,,
000026.png,rest_quarter,restQuarter,,
000027.png,dot,augmentationDot,,
000028.png,rest_8th,rest8th,,
000029.png,rest_16th,rest16th,,
000030.png,rest_16th,rest16th,,
000031.png,rest_16th,rest16th,,
000032.png,clef_treble,clefG,,
000033.png,clef_8,clef8,,
000034.png,clef_treble,clefG,,
000035.png,clef_8,clef8,,
000036.png,clef_treble,clefG,,
000037.png,rest_whole,restWhole,,
000038.png,rest_whole,restWhole,,
000039.png,rest_16th,rest16th,,
000040.png,dot,augmentationDot,,
000041.png,rest_16th,rest16th,,
000042.png,rest_whole,restWhole,,
000043.png,rest_whole,restWhole,,
000044.png,clef_8,clef8,,
000045.png,clef_treble,clefG,,
000046.png,clef_8,clef8,,
000047.png,clef_treble,clefG,,
000048.png,clef_treble,clefG,,
000049.png,rest_whole,restWhole,,
000050.png,rest_whole,restWhole,,
000051.png,rest_whole,restWhole,,
000052.png,rest_32nd,rest32nd,,
000053.png,rest_32nd,rest32nd,,
000054.png,rest_whole,restWhole,,
000055.png,rest_whole,restWhole,,
000056.png,rest_whole,restWhole,,
000057.png,dot,augmentationDot,,
000058.png,dot,augmentationDot,,
000059.png,dot,augmentationDot,,
000060.png,dot,augmentationDot,,
000061.png,rest_whole,restWhole,,
000062.png,dot,augmentationDot,,
000063.png,clef_8,clef8,,
000064.png,clef_treble,clefG,,
000065.png,clef_8,clef8,,
000066.png,clef_treble,clefG,,
000067.png,clef_treble,clefG,,
000068.png,rest_whole,restWhole,,
000069.png,rest_whole,restWhole,,
000070.png,natural,accidentalNatural,-3,
000071.png,dot,augmentationDot,,
000072.png,dot,augmentationDot,,
000073.png,dot,augmentationDot,,
000074.png,dot,augmentationDot,,
000075.png,rest_whole,restWhole,,
000076.png,rest_whole,restWhole,,
000077.png,rest_whole,restWhole,,
000078.png,rest_whole,restWhole,,
000079.png,rest_whole,restWhole,,
000080.png,rest_whole,restWhole,,
000081.png,rest_whole,restWhole,,
000082.png,dot,augmentationDot,,
000083.png,clef_treble,clefG,,
000084.png,clef_bass,clefF,,
000085.png,clef_bass,clefF,,
000086.png,clef_treble,clefG,,
000087.png,rest_8th,rest8th,,
000088.png,dot,augmentationDot,,
000089.png,rest_whole,restWhole,,
000090.png,dot,augmentationDot,,
000091.png,rest_whole,restWhole,,
000092.png,rest_8th,rest8th,,
000093.png,rest_whole,restWhole,,
000094.png,clef_treble,clefG,,
000095.png,rest_whole,restWhole,,
000096.png,rest_whole,restWhole,,
000097.png,rest_whole,restWhole,,
000098.png,clef_treble,clefG,,
000099.png,clef_bass,clefF,,
000100.png,clef_bass,clefF,,
000101.png,rest_whole,restWhole,,
000102.png,sharp,accidentalSharp,5,
000103.png,sharp,accidentalSharp,1,
000104.png,sharp,accidentalSharp,1,
000105.png,sharp,accidentalSharp,1,
000106.png,sharp,accidentalSharp,1,
000107.png,flat,accidentalFlat,7,
000108.png,sharp,accidentalSharp,5,
000109.png,dot,augmentationDot,,
000110.png,rest_half,restHalf,,
000111.png,rest_half,restHalf,,
000112.png,dot,augmentationDot,,
000113.png,clef_treble,clefG,,
000114.png,clef_treble,clefG,,
000115.png,rest_whole,restWhole,,
000116.png,rest_whole,restWhole,,
000117.png,clef_bass,clefF,,
000118.png,dot,augmentationDot,,
000119.png,dot,augmentationDot,,
000120.png,rest_half,restHalf,,
000121.png,rest_half,restHalf,,
000122.png,dot,augmentationDot,,
000123.png,clef_bass,clefF,,
000124.png,clef_treble,clefG,,
000125.png,clef_treble,clefG,,
000126.png,rest_whole,restWhole,,
000127.png,rest_whole,restWhole,,
000128.png,dot,augmentationDot,,
000129.png,rest_half,restHalf,,
000130.png,rest_half,restHalf,,
000131.png,rest_half,restHalf,,
000132.png,rest_half,restHalf,,
000133.png,rest_half,restHalf,,
000134.png,rest_half,restHalf,,
000135.png,clef_tenor,clefCTenor,,
000136.png,rest_whole,restWhole,,
000137.png,clef_bass,clefF,,
000138.png,clef_treble,clefG,,
000139.png,clef_treble,clefG,,
000140.png,rest_whole,restWhole,,
000141.png,rest_half,restHalf,,
000142.png,rest_half,restHalf,,
000143.png,rest_half,restHalf,,
